	word	frequency	volumes
397	watch	6205	27105.65234375
398	daily	9209	27103.55859375
399	increasing	5803	27084.4375
400	wall	15389	26940.41015625
401	larger	11249	26711.517578125
402	local	28196	26473.6875
403	red	21455	26427.248046875
404	largest	13849	26213.712890625
405	section	17723	25993.375
406	florida	9583	25833.212890625
407	association	14876	25739.861328125
408	deep	9032	25646.2578125
409	st	33739	25601.63671875
410	lower	13442	25521.728515625
411	latter	11110	25457.359375
412	sent	19292	25251.251953125
413	japanese	19282	25142.158203125
414	replaced	14354	24980.37890625
415	community	16919	24818.927734375
416	lowest	2907	24755.669921875
417	achieved	5456	24480.982421875
418	london	24784	24458.205078125
419	th	91250	24346.060546875
420	issue	20489	24285.744140625
421	executive	9423	24139.373046875
422	keep	10559	24055.28515625
423	york	36299	24040.35546875
424	involved	14179	23996.078125
425	moderate	3559	23976.017578125
426	weapon	9738	23945.48828125
427	scheduled	5202	23850.701171875
428	meant	7359	23846.765625
429	taking	13685	23595.166015625
430	conducted	7340	23563.88671875
431	former	27609	23531.302734375
432	possible	14025	23496.365234375
433	significantly	4679	23453.8515625
434	old	31627	23440.544921875
435	build	7645	23325.01171875
436	opening	15157	23313.134765625
437	remaining	11190	23121.2578125
438	store	7196	22845.26171875
439	make	40804	22785.859375
440	went	23308	22746.259765625
441	return	24780	22580.69921875
442	continuing	3905	22315.052734375
443	capacity	5936	22282.728515625
444	raised	9196	22053.349609375
445	previously	12958	21996.595703125
446	ultimately	7951	21986.12890625
447	ireland	6590	21982.5234375
448	except	6384	21962.365234375
449	texas	9439	21882.54296875
450	independent	9661	21767.359375
451	budget	5510	21705.25390625
452	construction	19716	21697.328125
453	drive	8702	21628.22265625
454	equivalent	4017	21619.64453125
455	hundred	8082	21493.5
456	key	11665	21431.359375
457	poor	9394	21422.041015625
458	marked	7144	21401.45703125
459	present	19174	21388.419921875
460	intense	3151	21326.865234375
461	thousand	7296	21207.810546875
462	organized	5366	21124.806640625
463	officially	6405	21061.099609375
464	market	10905	21014.494140625
465	royal	24023	20881.86328125
466	work	71562	20772.9765625
467	briefly	5427	20745.337890625
468	carry	6943	20655.31640625
